registro,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,_class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedBy,measurementDeterminedDate,measurementMethod,measurementRemarks,resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo,relationshipEstablishedDate,relationshipRemarks,uniprot
620,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV3080,TULV3080,769,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/oNf3N5,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-05-22,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Corregimiento Mulalo, La Calera.",,1050,1050,,,,,,,,,3.6167,-76.4833,WGS84,,,,,03°37'00''N,76°29'00''W,grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,J. L. Fernandez,2004,,,,,,,,,,,,Baccharis,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Baccharis,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
621,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV3138,TULV3138,838,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/oNewGT,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-05-23,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Vijes,,Quebrada Villanueva.,,1000,1000,,,,,,,,,3.65,-76.5,WGS84,,,,,03°39'00''N,76°30'00''W,grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baccharis,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Baccharis,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
622,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV3597,TULV3597,1024,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/oNeZHe,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1980-02-13,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Zarzal,Vallejuelo,"Corregimiento Vallejuelo, Unidad Regional de Salud.",,1000,1000,,,,,,,,,4.4167,-75.8667,WGS84,,,,,04°25'00''N,75°52'00''W,grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artemisia,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Artemisia,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
623,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17674,TULV17674,135,A. Castaño N.,,,,,,,,,,,,https://www.flickr.com/photos/98771984@N05/13879772064/,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2013-07-30,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Jardín Botánico, Carretera a la Soledad",,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Castaño N.,,,,,,,,,,,,,Liabum melastomoides (Kunth) Less.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Liabum,,melastomoides,,Especie,,(Kunth) Less.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
624,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17683,TULV17683,1121,"J. Adarve, L. Perea, A. Saldarriaga",,,,,,,,,,,,http://www.flickr.com/photos/98771984@N05/11090426585/,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2013-07-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buga,El Vínculo,"Parque Natural Regional El Vinculo, Percela Permanente de Monitoreo",,1065,1065,,,,,,,,,3.8375,-76.2919,WGS84,,,,,03°50'15.7''N,76°17'30.9''W,grados minutos segundos,,,,,"J. Adarve, L. Perea, A. Saldarriaga",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Adarve,,,,,,,,,,,,,Austroeupatorium,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Austroeupatorium,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
625,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17702,TULV17702,1092,J. Adarve,,,,,,,,,,,,http://www.flickr.com/photos/98771984@N05/11090521065/,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2012-12-27,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buga,El Vínculo,"Parque Natural Regional El Vinculo, Parcela Permanente de Monitoreo",,1020,1020,,,,,,,,,3.836194444,-76.29519444,WGS84,,,,,03°50'10.3''N,76°17'42.7''W,grados minutos segundos,,,,,J. Adarve,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Adarve,,,,,,,,,,,,,Verbesina crassicaulis S.F.Blake,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Verbesina,,crassicaulis,,Especie,,S.F.Blake,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
626,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17726,TULV17726,175,"A. Castaño N., J. Adarve",,,,,,,,,,,,http://www.flickr.com/photos/98771984@N05/11090709773/,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2013-10-08,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buga,El Vínculo,"Parque Natural Regional El Vinculo, Parcela Permanente de Monitoreo",,1065,1065,,,,,,,,,3.836194444,-76.29519444,WGS84,,,,,03°50'10.3''N,76°17'42.7''W,grados minutos segundos,,,,,"A. Castaño N., J. Adarve",,,,,,,,,,,,,,,,,,,,,,,,,cf. crassicaulis,,A. Castaño N.,,,,,,,,,,,,,Verbesina crassicaulis S.F.Blake,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Verbesina,,crassicaulis,,Especie,,S.F.Blake,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
627,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17743,TULV17743,250,"A. Castaño N., J. Adarve",,,,,,,,,,,,https://www.flickr.com/photos/98771984@N05/13879834994/,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2013-10-08,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buga,El Vínculo,"Parque Natural Regional El Vinculo, Parcela Permanente de Monitoreo",,1065,1065,,,,,,,,,3.836194444,-76.29519444,WGS84,,,,,03°50'10.3''N,76°17'42.7''W,grados minutos segundos,,,,,"A. Castaño N., J. Adarve",,,,,,,,,,,,,,,,,,,,,,,,,,,A. Castaño N.,,,,,,,,,,,,,Mikania,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Mikania,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
628,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV17826,TULV17826,267,"A. Castaño N., W. Devia",,,,,,,,,,,,https://www.flickr.com/photos/98771984@N05/13879537353/,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,2013-11-02,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Dagua,Loboguerrero,Corregimiento de Loboguerrero,,760,760,,,,,,,,,3.764972222,-76.66755556,WGS84,,,,,03°45'53.9''N,76°40'03.2''W,grados minutos segundos,,,,,"A. Castaño N., W. Devia",,,,,,,,,,,,,,,,,,,,,,,,,,,A. Castaño N.,,,,,,,,,,,,,Steiractinia sodiroi (Hieron.) S.F.Blake,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Steiractinia,,sodiroi,,Especie,,(Hieron.) S.F.Blake,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
629,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV52,TULV52,0,I. Cabrera,,,,,,,,,,,,https://flic.kr/p/pFzfS6,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1976-11-07,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes",,1050,1050,,,,,,,,,4.0283,-76.1689,WGS84,,,,,"04°01'42""N","76°10'08""W",grados minutos segundos,,,,,I. Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clibadium,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Clibadium,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
630,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV57,TULV57,325,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/ppe8D9,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1977-11-25,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes",,1050,1050,,,,,,,,,4.0283,-76.1689,WGS84,,,,,"04°01'42""N","76°10'08""W",grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1977,,,,,,,,,,,,Taraxacum campylodes G.E.Haglund,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Taraxacum,,campylodes,,Especie,,G.E.Haglund,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
631,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV286,TULV286,499,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/pDpBC7,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1978-05-23,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, Vía Mateguadua.",,1100,1100,,,,,,,,,4.0283,-76.1689,WGS84,,,,,"04°01'42""N","76°10'08""W",grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,H. Cuadros,1978,,,,,,,,,,,,Baccharis inamoena Gardner,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Baccharis,,inamoena,,Especie,,Gardner,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
632,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV288,TULV288,499,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/pFzkbU,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1978-05-23,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, Vía Mateguadua.",,1100,1100,,,,,,,,,4.0283,-76.1689,WGS84,,,,,"04°01'42""N","76°10'08""W",grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,H. Cuadros,1978,,,,,,,,,,,,Baccharis inamoena Gardner,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Baccharis,,inamoena,,Especie,,Gardner,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
633,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV320,TULV320,374,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/pp8K2n,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1978-01-30,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,,"Margen derecha del río Sabaletas, Hacienda Santa Lucia",,1060,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elephantopus,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Elephantopus,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
634,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV497,TULV497,972,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/oJGbRe,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-11-30,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Cerrito,,Hacienda Piedechinche,,1050,1050,,,,,,,,,3.6333,-76.25,WGS84,,,,,03°38'00''N,76°15'00''W,grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,B. R. Ramirez,2004,,,,,,,,,,,,Centratherum punctatum Cass.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Centratherum,,punctatum,,Especie,,Cass.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
635,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV507,TULV507,972,H. Cuadros,,,,,,,,,,,,https://flic.kr/p/pp1ee2,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-11-30,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Cerrito,,Hacienda Piedechinche,,1050,1050,,,,,,,,,3.6333,-76.25,WGS84,,,,,03°38'00''N,76°15'00''W,grados minutos segundos,,,,,H. Cuadros,,,,,,,,,,,,,,,,,,,,,,,,,,,B. R. Ramirez,2004,,,,,,,,,,,,Centratherum punctatum Cass.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Centratherum,,punctatum,,Especie,,Cass.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
636,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1218,TULV1218,28823,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/pp6LCA,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Cordillera Occidental, Vertiente Oriental, Mulalo, lomas desertizadas.",,1300,1300,,,,,,,,,3.6333,-76.6,WGS84,,,,,03°38'00''N,76°36'00''W,grados minutos segundos,,,,,J. Cuatrecasas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acmella,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Acmella,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
637,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1222,TULV1222,28825,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/pp3Ysm,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Cordillera Occidental, Vertiente Oriental, Mulalo, lomas desertizadas.",,1400,1400,,,,,,,,,3.6333,-76.6,WGS84,,,,,03°38'00''N,76°36'00''W,grados minutos segundos,,,,,J. Cuatrecasas,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1979,,,,,,,,,,,,Baccharis inamoena Gardner,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Baccharis,,inamoena,,Especie,,Gardner,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,94334
638,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1223,TULV1223,28825,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/oJGpNg,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Cordillera Occidental, vertiente oriental: Mulalo, lomas desertizadas.",,1400,1400,,,,,,,,,3.6333,-76.6,WGS84,,,,,03°38'00''N,76°36'00''W,grados minutos segundos,,,,,J. Cuatrecasas,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatecasas,1979,,,,,,,,,,,,Baccharis inamoena Gardner,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Baccharis,,inamoena,,Especie,,Gardner,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2623252
639,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1227,TULV1227,28828,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/pp3QKC,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-05,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yumbo,Mulaló,"Cordillera Occidental, Vertiente Oriental, Mulalo, lomas desertizadas.",,1400,1400,,,,,,,,,3.6333,-76.6,WGS84,,,,,03°38'00''N,76°36'00''W,grados minutos segundos,,,,,J. Cuatrecasas,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1979,,,,,,,,,,,,Calea sessiliflora Less.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Calea,,sessiliflora,,Especie,,Less.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2576581
640,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1260,TULV1260,28849,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/ppCERF,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-06,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Vijes,,"Entre Vijes y Yotoco, entre fincas y linderos de la carretera.",,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1979,,,,,,,,,,,,Lycoseris mexicana (L.f.) Cass.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Lycoseris,,mexicana,,Especie,,(L.f.) Cass.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2576581
641,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1270,TULV1270,28856,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/oJPHGu,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-06,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Mateguadua,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, piedemonte de la Cordillera Central, lomas depauperadas en vias de repoblacion natural.",,1200,1200,,,,,,,,,4.0283,-76.1689,WGS84,,,,,"04°01'42""N","76°10'08""W",grados minutos segundos,,,,,J. Cuatrecasas,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Cuatrecasas,1979,,,,,,,,,,,,Pterocaulon virgatum (L.) DC.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Pterocaulon,,virgatum,,Especie,,(L.) DC.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2576581
642,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1353,TULV1353,28928,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/pFkfrk,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-10,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Bugalagrande,La Uribe,"Cordillera Central, Vertiente Occidental, piedemonte entre La Uribe y Astelia (Bugalagrande-Sevilla), vuelta del Violin",,1100,1100,,,,,,,,,4.2333,-75.9333,WGS84,,,,,04°14'00''N,75°56'00''W,grados minutos segundos,,,,,J. Cuatrecasas,,,,,,,,,,,,,,,,,,,,,,,,,,,H. Robinson,,,,,,,,,,,,,Hebeclinium macrophyllum (L.) DC.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Hebeclinium,,macrophyllum,,Especie,,(L.) DC.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2576581
643,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV1355,TULV1355,28930,J. Cuatrecasas,,,,,,,,,,,,https://flic.kr/p/oJGCtM,http://www.flickr.com/groups/2287605@N22/,,,,,,,,,,,,,,,,1979-04-10,,,,,,,,Bosque seco tropical,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Bugalagrande,La Uribe,"Cordillera Central, Vertiente Occidental, piedemonte entre La Uribe y Astelia (Bugalagrande-Sevilla), vuelta del Violin",,1100,1100,,,,,,,,,4.2333,-75.9333,WGS84,,,,,04°14'00''N,75°56'00''W,grados minutos segundos,,,,,J. Cuatrecasas,,,,,,,,,,,,,,,,,,,,,,,,,,,H. Robinson,,,,,,,,,,,,,Acmella alba (L'Hér.) R.K.Jansen,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,ASTERACEAE,Acmella,,alba,,Especie,,(L'Hér.) R.K.Jansen,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,1447785
